match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes
wc2026_r044,Saudi Arabia,Uruguay,1897078,Will Uruguay win on 2026-06-15?,match_1x2,67375566273017733280418349633635206252639538869301457434188127341791609355341,away_win,fifwc-ksa-ury-2026-06-15-ury,72195.4244,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r001,Mexico,South Africa,1897034,Will Mexico win on 2026-06-11?,match_1x2,20779063998268474490699884714808310289659170477959115489741275295270359962039,home_win,fifwc-mex-rsa-2026-06-11-mex,1650880.2764,2026-06-11,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r001,Mexico,South Africa,1897035,Will Mexico vs. South Africa end in a draw?,match_1x2,11634144673803325466643188834337300341803737096067092239834760823912726000274,draw,fifwc-mex-rsa-2026-06-11-draw,1782876.4972,2026-06-11,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r001,Mexico,South Africa,1897036,Will South Africa win on 2026-06-11?,match_1x2,115307860962719805060784163204351769077176612029040401546976102705811910754396,away_win,fifwc-mex-rsa-2026-06-11-rsa,1890093.396,2026-06-11,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r031,Netherlands,Japan,1897061,Will Netherlands win on 2026-06-14?,match_1x2,46118045327286643463479614908512136607324773588723756546332480247027286666715,home_win,fifwc-nld-jpn-2026-06-14-nld,441020.285,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r031,Netherlands,Japan,1897062,Will Netherlands vs. Japan end in a draw?,match_1x2,45105978043736940399020460688923720821814878879331783138334562105702459648812,draw,fifwc-nld-jpn-2026-06-14-draw,170705.2736,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r031,Netherlands,Japan,1897063,Will Japan win on 2026-06-14?,match_1x2,51849195089345361433940393336005306019563641384117823557920274041538875387918,away_win,fifwc-nld-jpn-2026-06-14-jpn,202276.2841,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r008,Qatar,Switzerland,1897046,Will Qatar win on 2026-06-13?,match_1x2,87801481723150143095656392688212600042782229576502495783917440071310994656016,home_win,fifwc-qat-che-2026-06-13-qat,477101.74822,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r008,Qatar,Switzerland,1897047,Will Qatar vs. Switzerland end in a draw?,match_1x2,84958042326881081629130565587739718054426374664464529827722909775907948361787,draw,fifwc-qat-che-2026-06-13-draw,404074.6643,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r008,Qatar,Switzerland,1897048,Will Switzerland win on 2026-06-13?,match_1x2,66066640081366099233010777058886646300763486736056057848435195209438713673265,away_win,fifwc-qat-che-2026-06-13-che,543636.2007,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r032,Sweden,Tunisia,1897067,Will Sweden win on 2026-06-14?,match_1x2,77891685052397355147816140430897431230743681776824155461036740561521945442239,home_win,fifwc-swe-tun-2026-06-14-swe,220144.1325,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r032,Sweden,Tunisia,1897068,Will Sweden vs. Tunisia end in a draw?,match_1x2,59191041992708759461556734329410471789809724249248263993334423672893905512717,draw,fifwc-swe-tun-2026-06-14-draw,148630.5431,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r032,Sweden,Tunisia,1897069,Will Tunisia win on 2026-06-14?,match_1x2,83899205056028320634506792090435502639229370708908873019388029731945043477417,away_win,fifwc-swe-tun-2026-06-14-tun,154870.6198,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r019,United States,Paraguay,1897043,Will United States win on 2026-06-12?,match_1x2,1053697017401072331517873943000159665286188444438499834342450614809920055961,home_win,fifwc-usa-par-2026-06-12-usa,598368.3363,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r019,United States,Paraguay,1897044,Will United States vs. Paraguay end in a draw?,match_1x2,21443346281887816581515410030230333606155013108124688608906518902705450285763,draw,fifwc-usa-par-2026-06-12-draw,742858.8097,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r019,United States,Paraguay,1897045,Will Paraguay win on 2026-06-12?,match_1x2,61818169216515152409825014521551448207788109103141434403938162619298245828983,away_win,fifwc-usa-par-2026-06-12-par,482185.6617,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
