match_id,date,group,round,home_team,away_team,home_code,away_code,polymarket_slug,gamma_api_url,event_url,sports_url,status
wc2026_r055,2026-06-16,Group J,Matchday 6,Argentina,Algeria,arg,alg,fifwc-arg-alg-2026-06-16,https://gamma-api.polymarket.com/events/slug/fifwc-arg-alg-2026-06-16,https://polymarket.com/event/fifwc-arg-alg-2026-06-16#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-arg-alg-2026-06-16,candidate_needs_gamma_validation
wc2026_r056,2026-06-16,Group J,Matchday 6,Austria,Jordan,aut,jor,fifwc-aut-jor-2026-06-16,https://gamma-api.polymarket.com/events/slug/fifwc-aut-jor-2026-06-16,https://polymarket.com/event/fifwc-aut-jor-2026-06-16#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-aut-jor-2026-06-16,candidate_needs_gamma_validation
wc2026_r057,2026-06-22,Group J,Matchday 12,Argentina,Austria,arg,aut,fifwc-arg-aut-2026-06-22,https://gamma-api.polymarket.com/events/slug/fifwc-arg-aut-2026-06-22,https://polymarket.com/event/fifwc-arg-aut-2026-06-22#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-arg-aut-2026-06-22,candidate_needs_gamma_validation
wc2026_r058,2026-06-22,Group J,Matchday 12,Jordan,Algeria,jor,alg,fifwc-jor-alg-2026-06-22,https://gamma-api.polymarket.com/events/slug/fifwc-jor-alg-2026-06-22,https://polymarket.com/event/fifwc-jor-alg-2026-06-22#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-jor-alg-2026-06-22,candidate_needs_gamma_validation
wc2026_r059,2026-06-27,Group J,Matchday 17,Algeria,Austria,alg,aut,fifwc-alg-aut-2026-06-27,https://gamma-api.polymarket.com/events/slug/fifwc-alg-aut-2026-06-27,https://polymarket.com/event/fifwc-alg-aut-2026-06-27#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-alg-aut-2026-06-27,candidate_needs_gamma_validation
wc2026_r060,2026-06-27,Group J,Matchday 17,Jordan,Argentina,jor,arg,fifwc-jor-arg-2026-06-27,https://gamma-api.polymarket.com/events/slug/fifwc-jor-arg-2026-06-27,https://polymarket.com/event/fifwc-jor-arg-2026-06-27#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-jor-arg-2026-06-27,candidate_needs_gamma_validation
wc2026_r061,2026-06-17,Group K,Matchday 7,Portugal,Democratic Republic of Congo,por,cod,fifwc-por-cod-2026-06-17,https://gamma-api.polymarket.com/events/slug/fifwc-por-cod-2026-06-17,https://polymarket.com/event/fifwc-por-cod-2026-06-17#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-por-cod-2026-06-17,candidate_needs_gamma_validation
wc2026_r062,2026-06-17,Group K,Matchday 7,Uzbekistan,Colombia,uzb,col,fifwc-uzb-col-2026-06-17,https://gamma-api.polymarket.com/events/slug/fifwc-uzb-col-2026-06-17,https://polymarket.com/event/fifwc-uzb-col-2026-06-17#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-uzb-col-2026-06-17,candidate_needs_gamma_validation
wc2026_r063,2026-06-23,Group K,Matchday 13,Portugal,Uzbekistan,por,uzb,fifwc-por-uzb-2026-06-23,https://gamma-api.polymarket.com/events/slug/fifwc-por-uzb-2026-06-23,https://polymarket.com/event/fifwc-por-uzb-2026-06-23#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-por-uzb-2026-06-23,candidate_needs_gamma_validation
wc2026_r064,2026-06-23,Group K,Matchday 13,Colombia,Democratic Republic of Congo,col,cod,fifwc-col-cod-2026-06-23,https://gamma-api.polymarket.com/events/slug/fifwc-col-cod-2026-06-23,https://polymarket.com/event/fifwc-col-cod-2026-06-23#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-col-cod-2026-06-23,candidate_needs_gamma_validation
wc2026_r065,2026-06-27,Group K,Matchday 17,Colombia,Portugal,col,por,fifwc-col-por-2026-06-27,https://gamma-api.polymarket.com/events/slug/fifwc-col-por-2026-06-27,https://polymarket.com/event/fifwc-col-por-2026-06-27#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-col-por-2026-06-27,candidate_needs_gamma_validation
wc2026_r066,2026-06-27,Group K,Matchday 17,Democratic Republic of Congo,Uzbekistan,cod,uzb,fifwc-cod-uzb-2026-06-27,https://gamma-api.polymarket.com/events/slug/fifwc-cod-uzb-2026-06-27,https://polymarket.com/event/fifwc-cod-uzb-2026-06-27#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-cod-uzb-2026-06-27,candidate_needs_gamma_validation
wc2026_r067,2026-06-17,Group L,Matchday 7,England,Croatia,eng,cro,fifwc-eng-cro-2026-06-17,https://gamma-api.polymarket.com/events/slug/fifwc-eng-cro-2026-06-17,https://polymarket.com/event/fifwc-eng-cro-2026-06-17#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-eng-cro-2026-06-17,candidate_needs_gamma_validation
wc2026_r068,2026-06-17,Group L,Matchday 7,Ghana,Panama,gha,pan,fifwc-gha-pan-2026-06-17,https://gamma-api.polymarket.com/events/slug/fifwc-gha-pan-2026-06-17,https://polymarket.com/event/fifwc-gha-pan-2026-06-17#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-gha-pan-2026-06-17,candidate_needs_gamma_validation
wc2026_r069,2026-06-23,Group L,Matchday 13,England,Ghana,eng,gha,fifwc-eng-gha-2026-06-23,https://gamma-api.polymarket.com/events/slug/fifwc-eng-gha-2026-06-23,https://polymarket.com/event/fifwc-eng-gha-2026-06-23#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-eng-gha-2026-06-23,candidate_needs_gamma_validation
wc2026_r070,2026-06-23,Group L,Matchday 13,Panama,Croatia,pan,cro,fifwc-pan-cro-2026-06-23,https://gamma-api.polymarket.com/events/slug/fifwc-pan-cro-2026-06-23,https://polymarket.com/event/fifwc-pan-cro-2026-06-23#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-pan-cro-2026-06-23,candidate_needs_gamma_validation
wc2026_r071,2026-06-27,Group L,Matchday 17,Panama,England,pan,eng,fifwc-pan-eng-2026-06-27,https://gamma-api.polymarket.com/events/slug/fifwc-pan-eng-2026-06-27,https://polymarket.com/event/fifwc-pan-eng-2026-06-27#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-pan-eng-2026-06-27,candidate_needs_gamma_validation
wc2026_r072,2026-06-27,Group L,Matchday 17,Croatia,Ghana,cro,gha,fifwc-cro-gha-2026-06-27,https://gamma-api.polymarket.com/events/slug/fifwc-cro-gha-2026-06-27,https://polymarket.com/event/fifwc-cro-gha-2026-06-27#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-cro-gha-2026-06-27,candidate_needs_gamma_validation
